plot_id,range,row,rep,variety,var_num,treatment,treat_label,fert_source,fert_rate,yield
12,13,3-Jan,1,CW,2,2,200 KCL,KCL,200,641.2188273
11,12,3-Jan,1,RB,1,2,200 KCL,KCL,200,697.97988
9,10,3-Jan,1,RB,1,8,200 B,B,200,709.8914786
8,9,3-Jan,1,CW,2,6,200 SOP,K2SO4,200,674.1916718
7,8,3-Jan,1,RB,1,6,200 SOP,K2SO4,200,680.4306641
6,7,3-Jan,2,CW,2,3,400 KCL,KCL,400,965.1194023
4,5,3-Jan,2,RB,1,3,400 KCL,KCL,400,908.7694714
3,4,3-Jan,2,CW,2,2,200 KCL,KCL,200,796.7081605
2,3,3-Jan,2,RB,1,2,200 KCL,KCL,200,911.7741595
1,2,3-Jan,2,CW,2,1,0,none,0,670.6840155
25,13,8-Jun,1,CW,2,4,600 KCL,KCL,600,853.4823341
24,12,8-Jun,1,RB,1,4,600 KCL,KCL,600,753.7656118
23,11,8-Jun,1,CW,2,5,800 KCL,KCL,800,807.4979214
22,10,8-Jun,1,RB,1,5,800 KCL,KCL,800,554.56397
21,9,8-Jun,1,CW,2,1,0,none,0,589.6711491
20,8,8-Jun,1,RB,1,1,0,none,0,588.7548723
17,5,8-Jun,2,RB,1,7,400 SOP,K2SO4,400,832.1739777
15,3,8-Jun,2,RB,1,6,200 SOP,K2SO4,200,802.5097891
13,1,8-Jun,2,RB,1,4,600 KCL,KCL,600,617.3453332
38,13,11-Sep,1,CW,2,3,400 KCL,KCL,400,882.1646414
37,12,11-Sep,1,RB,1,3,400 KCL,KCL,400,762.6506541
35,10,11-Sep,1,RB,1,9,400 B,B,400,761.6709595
33,8,11-Sep,1,RB,1,7,400 SOP,K2SO4,400,933.9135068
31,6,11-Sep,2,CW,2,9,400 B,B,400,916.9372373
30,5,11-Sep,2,RB,1,9,400 B,B,400,967.9994418
29,4,11-Sep,2,CW,2,8,200 B,B,200,817.91811
28,3,11-Sep,2,RB,1,8,200 B,B,200,1124.153568
26,1,11-Sep,2,RB,1,5,800 KCL,KCL,800,818.5391664
51,13,14-16,4,CW,2,6,200 SOP,K2SO4,200,883.0896655
50,12,14-16,4,RB,1,6,200 SOP,K2SO4,200,783.0055577
49,11,14-16,4,CW,2,4,600 KCL,KCL,600,931.7726118
48,10,14-16,4,RB,1,4,600 KCL,KCL,600,719.4544345
47,9,14-16,4,CW,2,3,400 KCL,KCL,400,993.2834336
46,8,14-16,4,RB,1,3,400 KCL,KCL,400,1004.88013
44,6,14-16,3,CW,2,5,800 KCL,KCL,800,1090.146358
43,5,14-16,3,RB,1,5,800 KCL,KCL,800,981.6758027
41,3,14-16,3,RB,1,1,0,none,0,738.4753791
40,2,14-16,3,CW,2,4,600 KCL,KCL,600,942.1599982
39,1,14-16,3,RB,1,4,600 KCL,KCL,600,918.9163077
64,13,17-19,4,CW,2,7,400 SOP,K2SO4,400,932.3433714
62,11,17-19,4,CW,2,1,0,none,0,752.3726086
61,10,17-19,4,RB,1,1,0,none,0,556.0160173
60,9,17-19,4,CW,2,2,200 KCL,KCL,200,846.7447473
59,8,17-19,4,RB,1,2,200 KCL,KCL,200,949.9428841
56,5,17-19,3,RB,1,3,400 KCL,KCL,400,942.6476586
55,4,17-19,3,CW,2,9,400 B,B,400,1012.490258
54,3,17-19,3,RB,1,9,400 B,B,400,1009.465888
53,2,17-19,3,CW,2,6,200 SOP,K2SO4,200,820.0546314
52,1,17-19,3,RB,1,6,200 SOP,K2SO4,200,879.8181855
77,13,22-24,4,CW,2,9,400 B,B,400,1035.27909
75,11,22-24,4,CW,2,5,800 KCL,KCL,800,979.9875791
74,10,22-24,4,RB,1,5,800 KCL,KCL,800,785.0458591
73,9,22-24,4,CW,2,8,200 B,B,200,892.2502468
70,6,22-24,3,CW,2,7,400 SOP,K2SO4,400,900.1512209
69,5,22-24,3,RB,1,7,400 SOP,K2SO4,400,858.42673
67,3,22-24,3,RB,1,2,200 KCL,KCL,200,792.4941618
66,2,22-24,3,CW,2,8,200 B,B,200,920.0140905
65,1,22-24,3,RB,1,8,200 B,B,200,848.6800814
